# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
291	5	85	7	0	0	0	0	0	0	0	1
292	5	85	7	0	0	0	0	0	0	0	1
293	5	85	7	0	0	0	0	0	0	0	1
294	5	85	7	0	0	0	0	0	0	0	1
295	5	85	7	0	0	0	0	0	0	0	1
296	5	85	7	0	0	0	0	0	0	0	1
297	5	85	7	0	0	0	0	0	0	0	1
298	5	85	7	0	0	0	0	0	0	0	1
299	5	85	7	0	0	0	0	0	0	0	1
300	5	85	7	0	0	0	0	0	0	0	1
301	5	85	7	0	0	0	0	0	0	0	1
302	5	85	7	0	0	0	0	0	0	0	1
303	5	85	7	0	0	0	0	0	0	0	1
304	5	85	7	0	0	0	0	0	0	0	1
305	5	85	7	0	0	0	0	0	0	0	1
306	5	85	7	0	0	0	0	0	0	0	1
307	5	85	7	0	0	0	0	0	0	0	1
308	5	85	7	0	0	0	0	0	0	0	1
309	5	85	7	0	0	0	0	0	0	0	1
310	5	85	7	0	0	0	0	0	0	0	1
311	5	85	7	0	0	0	0	0	0	0	1
312	5	85	7	0	0	0	0	0	0	0	1
313	5	85	7	0	0	0	0	0	0	0	1
314	5	85	7	0	0	0	0	0	0	0	1
315	5	85	7	0	0	0	0	0	0	0	1
316	5	85	7	0	0	0	0	0	0	0	1
317	5	85	7	0	0	0	0	0	0	0	1
318	5	85	7	0	0	0	0	0	0	0	1
319	5	85	7	0	0	0	0	0	0	0	1
320	5	85	7	0	0	0	0	0	0	0	1
321	5	85	7	0	0	0	0	0	0	0	1
322	5	85	7	0	0	0	0	0	0	0	1
323	5	85	7	0	0	0	0	0	0	0	1
324	5	85	7	0	0	0	0	0	0	0	1
325	5	85	7	0	0	0	0	0	0	0	1
326	5	85	7	0	0	0	0	0	0	0	1
327	5	85	7	0	0	0	0	0	0	0	1
328	5	85	7	0	0	0	0	0	0	0	1
329	5	85	7	0	0	0	0	0	0	0	1
330	5	85	7	0	0	0	0	0	0	0	1
331	5	85	7	0	0	0	0	0	0	0	1
332	5	85	7	0	0	0	0	0	0	0	1
333	5	85	7	0	0	0	0	0	0	0	1
334	5	85	7	0	0	0	0	0	0	0	1
335	5	85	7	0	0	0	0	0	0	0	1
336	5	85	7	0	0	0	0	0	0	0	1
337	5	85	7	0	0	0	0	0	0	0	1
338	5	85	7	0	0	0	0	0	0	0	1
339	5	85	7	0	0	0	0	0	0	0	1
340	5	85	7	0	0	0	0	0	0	0	1
341	5	85	7	0	0	0	0	0	0	0	1
342	5	85	7	0	0	0	0	0	0	0	1
343	5	85	7	0	0	0	0	0	0	0	1
344	5	85	7	0	0	0	0	0	0	0	1
345	5	85	7	0	0	0	0	0	0	0	1
346	5	85	7	0	0	0	0	0	0	0	1
347	5	85	7	0	0	0	0	0	0	0	1
348	5	85	7	0	0	0	0	0	0	0	1
349	5	85	7	0	0	0	0	0	0	0	1
350	5	85	7	0	0	0	0	0	0	0	1
351	5	85	7	0	0	0	0	0	0	0	1
